id,a,b,a_times_b,template_a,template_b,digits_a,digits_b,nonzero_a,nonzero_b,digit_total,nonzero_total,complexity_c,stratum_id,split
mm_00001,8004004,500,4002002000,D00D00D,D00,7,3,3,1,10,4,40,d10_nz4,val
mm_00002,798121119,866747414,691769415952036266,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_00003,272623761,145623240,39700355377805640,DDDDDDDDD,DDDDDDDD0,9,9,9,8,18,17,306,d18_nz17,train
mm_00004,401020475,600,240612285000,D0D0D0DDD,D00,9,3,6,1,12,7,84,d12_nz7,train
mm_00005,85536291,259341089,22183074856960899,DDDDDDDD,DDDDDD0DD,8,9,8,8,17,16,272,d17_nz16,train
mm_00006,988527192,9077006,8972867252947152,DDDDDDDDD,D0DD00D,9,7,9,4,16,13,208,d16_nz13,train
mm_00007,7833585,675385,5290685805225,DDDDDDD,DDDDDD,7,6,7,6,13,13,169,d13_nz13,train
mm_00008,29889570,832,24868122240,DDDDDDD0,DDD,8,3,7,3,11,10,110,d11_nz10,train
mm_00009,4587458,366015979,1679082930991382,DDDDDDD,DDD0DDDDD,7,9,7,8,16,15,240,d16_nz15,test
mm_00010,352137730,971086093,341956052423588890,DDDDDDDD0,DDD0DD0DD,9,9,8,7,18,15,270,d18_nz15,train
mm_00011,357589136,688260,246114298743360,DDDDDDDDD,DDDDD0,9,6,9,5,15,14,210,d15_nz14,train
mm_00012,910102,306240760,278710328157520,DD0D0D,D0DDD0DD0,6,9,4,6,15,10,150,d15_nz10,train
mm_00013,721850153,108000000,77959816524000000,DDDDD0DDD,D0D000000,9,9,8,2,18,10,180,d18_nz10,train
mm_00014,473447025,5130440,2428991554941000,DDDDDD0DD,DDD0DD0,9,7,8,5,16,13,208,d16_nz13,train
mm_00015,40296,760067607,30627684291672,D0DDD,DD00DDD0D,5,9,4,6,14,10,140,d14_nz10,val
mm_00016,18400761,561671,10335173831631,DDD00DDD,DDDDDD,8,6,6,6,14,12,168,d14_nz12,train
mm_00017,796689886,935651743,745424280466371298,DDDDDDDDD,DDDDDDDDD,9,9,9,9,18,18,324,d18_nz18,train
mm_00018,369910864,875491824,323853937040775936,DDDDD0DDD,DDDDDDDDD,9,9,8,9,18,17,306,d18_nz17,train
mm_00019,528258000,410707082,216959301723156000,DDDDDD000,DD0D0D0DD,9,9,6,6,18,12,216,d18_nz12,test
mm_00020,2908242,100,290824200,DD0DDDD,D00,7,3,6,1,10,7,70,d10_nz7,train
mm_00021,3073084,5567955,17110793423220,D0DD0DD,DDDDDDD,7,7,5,7,14,12,168,d14_nz12,val
mm_00022,400520908,389600145,156043003832331660,D00DD0D0D,DDDD00DDD,9,9,5,7,18,12,216,d18_nz12,train
mm_00023,10502269,9000000,94520421000000,D0D0DDDD,D000000,8,7,6,1,15,7,105,d15_nz7,train
mm_00024,238210755,662090005,157716959969003775,DDDDD0DDD,DDD0D000D,9,9,8,5,18,13,234,d18_nz13,test
mm_00025,702468904,5774191,4056189623256664,D0DDDDD0D,DDDDDDD,9,7,7,7,16,14,224,d16_nz14,train
mm_00026,36120283,317347343,11462675838458069,DDDD0DDD,DDDDDDDDD,8,9,7,9,17,16,272,d17_nz16,train
