id,a,b,product,target_heuristic,ot_score,dd_score,rc_score,category,notes,digit_total,nonzero_total,complexity_c,split
hds_000,47,60,2820,DD,0.55,1.0,0.35,zero_factor,47×60 = 47×6×10,4,3,12,train
hds_001,62,50,3100,DD,0.55,1.0,0.55,zero_factor_50,62×50 = 62×5×10,4,3,12,val
hds_002,73,40,2920,DD,0.55,1.0,0.1,zero_factor,73×40 = 73×4×10,4,3,12,train
hds_003,73,60,4380,DD,0.55,1.0,0.1,perturb_zero,Has zero - should favor DD,4,3,12,train
hds_004,84,20,1680,DD,0.45,1.0,0.35,zero_factor,84×20 = 84×2×10,4,3,12,train
hds_005,200,300,60000,DD,0.45,1.0,0.55,hundred_factor,Generated: 200*300,6,2,12,test
hds_006,17,500,8500,DD,0.45,1.0,0.55,hundred_factor,Generated: 17*500,5,3,15,val
hds_007,24,200,4800,DD,0.45,1.0,0.7,hundred_factor,Generated: 24*200,5,3,15,train
hds_008,25,800,20000,DD,0.45,1.0,0.55,clean_decomp,Generated: 25 = 20+5,5,3,15,test
hds_009,26,200,5200,DD,0.45,1.0,0.7,hundred_factor,Generated: 26*200,5,3,15,train
hds_010,37,100,3700,DD,0.45,1.0,0.55,hundred_factor,37×100 = 3700,5,3,15,train
hds_011,43,200,8600,DD,0.45,1.0,0.55,hundred_factor,Generated: 43*200,5,3,15,val
hds_012,44,500,22000,DD,0.45,1.0,0.55,hundred_factor,Generated: 44*500,5,3,15,train
hds_013,44,900,39600,DD,0.45,1.0,0.1,quarter_hundred,Generated: 44*900 uses quarter-hundred decomposition,5,3,15,train
hds_014,64,200,12800,DD,0.45,1.0,0.55,two_hundred_factor,64×200,5,3,15,train
hds_015,65,800,52000,DD,0.45,1.0,0.1,hundred_factor,Generated: 65*800,5,3,15,val
hds_016,66,700,46200,DD,0.45,1.0,0.1,hundred_factor,Generated: 66*700,5,3,15,train
hds_017,67,700,46900,DD,0.45,1.0,0.1,quarter_hundred,Generated: 67*700 uses quarter-hundred decomposition,5,3,15,train
hds_018,73,600,43800,DD,0.45,1.0,0.1,quarter_hundred,Generated: 73*600 uses quarter-hundred decomposition,5,3,15,test
hds_019,83,900,74700,DD,0.45,1.0,0.1,hundred_factor,Generated: 83*900,5,3,15,test
hds_020,730,50,36500,DD,0.45,1.0,0.55,quarter_hundred,Generated: 730*50 uses quarter-hundred decomposition,5,3,15,train
hds_021,804,60,48240,DD,0.45,1.0,0.1,zero_factor,Generated: 804*60 = 804*6*10,5,3,15,train
hds_022,48,25,1200,DD,0.55,0.9999999999999999,0.7,quarter_hundred,48×25 = 48×100÷4 = 1200,4,4,16,train
hds_023,76,25,1900,DD,0.55,0.9999999999999999,0.55,quarter_hundred,76×25 = 76×100÷4 = 1900,4,4,16,train
hds_024,110,700,77000,DD,0.45,1.0,0.1,quarter_hundred,Generated: 110*700 uses quarter-hundred decomposition,6,3,18,test
hds_025,180,800,144000,DD,0.45,1.0,0.1,hundred_factor,Generated: 180*800,6,3,18,train
hds_026,204,600,122400,DD,0.45,1.0,0.35,quarter_hundred,Generated: 204*600 uses quarter-hundred decomposition,6,3,18,train
hds_027,290,200,58000,DD,0.45,1.0,0.55,hundred_factor,Generated: 290*200,6,3,18,train
hds_028,309,600,185400,DD,0.45,1.0,0.1,quarter_hundred,Generated: 309*600 uses quarter-hundred decomposition,6,3,18,test
hds_029,340,800,272000,DD,0.45,1.0,0.1,hundred_factor,Generated: 340*800,6,3,18,val
hds_030,401,800,320800,DD,0.45,1.0,0.1,quarter_hundred,Generated: 401*800 uses quarter-hundred decomposition,6,3,18,train
hds_031,440,600,264000,DD,0.45,1.0,0.1,hundred_factor,Generated: 440*600,6,3,18,val
hds_032,503,300,150900,DD,0.45,1.0,0.35,zero_factor,Generated: 503*300 = 503*30*10,6,3,18,train
hds_033,690,900,621000,DD,0.45,1.0,0.1,hundred_factor,Generated: 690*900,6,3,18,train
hds_034,701,900,630900,DD,0.45,1.0,0.1,hundred_factor,Generated: 701*900,6,3,18,test
hds_035,706,700,494200,DD,0.45,1.0,0.1,hundred_factor,Generated: 706*700,6,3,18,val
hds_036,740,300,222000,DD,0.45,1.0,0.1,quarter_hundred,Generated: 740*300 uses quarter-hundred decomposition,6,3,18,val
hds_037,880,300,264000,DD,0.45,1.0,0.1,quarter_hundred,Generated: 880*300 uses quarter-hundred decomposition,6,3,18,train
hds_038,15,840,12600,DD,0.45,1.0,0.1,clean_decomp,Generated: 15 = 10+5,5,4,20,train
hds_039,16,460,7360,DD,0.45,1.0,0.1,zero_factor,Generated: 16*460 = 16*46*10,5,4,20,val
hds_040,54,150,8100,DD,0.45,1.0,0.35,quarter_hundred,Generated: 54*150 uses quarter-hundred decomposition,5,4,20,train
hds_041,56,390,21840,DD,0.55,1.0,0.1,zero_factor,Generated: 56*390 = 56*39*10,5,4,20,train
hds_042,56,820,45920,DD,0.55,1.0,0.1,zero_factor,Generated: 56*820 = 56*82*10,5,4,20,train
hds_043,64,320,20480,DD,0.55,1.0,0.1,zero_factor,Generated: 64*320 = 64*32*10,5,4,20,train
hds_044,64,990,63360,DD,0.55,1.0,0.1,zero_factor,Generated: 64*990 = 64*99*10,5,4,20,test
hds_045,75,740,55500,DD,0.55,1.0,0.1,zero_factor,Generated: 75*740 = 75*74*10,5,4,20,train
hds_046,78,480,37440,DD,0.55,1.0,0.1,zero_factor,Generated: 78*480 = 78*48*10,5,4,20,train
hds_047,92,520,47840,DD,0.55,1.0,0.1,zero_factor,Generated: 92*520 = 92*52*10,5,4,20,val
hds_048,96,610,58560,DD,0.45,1.0,0.35,zero_factor,Generated: 96*610 = 96*61*10,5,4,20,train
hds_049,152,40,6080,DD,0.45,1.0,0.1,zero_factor,Generated: 152*40 = 152*4*10,5,4,20,train
hds_050,181,50,9050,DD,0.45,1.0,0.55,quarter_hundred,Generated: 181*50 uses quarter-hundred decomposition,5,4,20,train
hds_051,205,91,18655,DD,0.45,0.65,0.35,clean_decomp,Generated: 205 = 200+5,5,4,20,test
hds_052,345,20,6900,DD,0.45,1.0,0.35,zero_factor,Generated: 345*20 = 345*2*10,5,4,20,val
hds_053,417,20,8340,DD,0.45,1.0,0.35,zero_factor,Generated: 417*20 = 417*2*10,5,4,20,train
hds_054,553,20,11060,DD,0.45,1.0,0.35,zero_factor,Generated: 553*20 = 553*2*10,5,4,20,train
hds_055,614,40,24560,DD,0.45,1.0,0.1,zero_factor,Generated: 614*40 = 614*4*10,5,4,20,train
hds_056,650,25,16250,DD,0.55,1.0,0.55,quarter_hundred,Generated: 650*25 uses quarter-hundred decomposition,5,4,20,train
hds_057,675,70,47250,DD,0.55,1.0,0.1,zero_factor,Generated: 675*70 = 675*7*10,5,4,20,train
hds_058,688,50,34400,DD,0.55,1.0,0.55,quarter_hundred,Generated: 688*50 uses quarter-hundred decomposition,5,4,20,train
hds_059,757,50,37850,DD,0.55,1.0,0.55,quarter_hundred,Generated: 757*50 uses quarter-hundred decomposition,5,4,20,train
hds_060,867,50,43350,DD,0.55,1.0,0.55,quarter_hundred,Generated: 867*50 uses quarter-hundred decomposition,5,4,20,train
hds_061,104,250,26000,DD,0.45,1.0,0.55,quarter_hundred,Generated: 104*250 uses quarter-hundred decomposition,6,4,24,train
hds_062,107,120,12840,DD,0.45,1.0,0.1,zero_factor,Generated: 107*120 = 107*12*10,6,4,24,train
hds_063,110,820,90200,DD,0.45,1.0,0.1,zero_factor,Generated: 110*820 = 110*82*10,6,4,24,val
hds_064,111,100,11100,DD,0.45,1.0,0.55,hundred_factor,Generated: 111*100,6,4,24,train
hds_065,115,900,103500,DD,0.45,1.0,0.1,hundred_factor,Generated: 115*900,6,4,24,train
hds_066,117,100,11700,DD,0.45,1.0,0.55,quarter_hundred,Generated: 117*100 uses quarter-hundred decomposition,6,4,24,val
hds_067,119,700,83300,DD,0.45,1.0,0.1,quarter_hundred,Generated: 119*700 uses quarter-hundred decomposition,6,4,24,val
hds_068,146,900,131400,DD,0.45,1.0,0.1,quarter_hundred,Generated: 146*900 uses quarter-hundred decomposition,6,4,24,train
hds_069,147,200,29400,DD,0.45,1.0,0.55,hundred_factor,Generated: 147*200,6,4,24,val
hds_070,183,100,18300,DD,0.45,1.0,0.55,hundred_factor,Generated: 183*100,6,4,24,train
