id,a,b,product,target_heuristic,ot_score,dd_score,rc_score,category,notes,split
hds_000,24996,24997,624825012,RC,0.55,0.3,0.75,near_25000,"Generated: 24996 near 25000, 24997 near 25000",train
hds_001,50004,50004,2500400016,RC,0.45,0.3,0.75,near_50000,"Generated: 50004 near 50000, 50004 near 50000",train
hds_002,49996,49998,2499700008,RC,0.55,0.3,0.75,near_50000,"Generated: 49996 near 50000, 49998 near 50000",test
hds_003,99997,99997,9999400009,RC,0.55,0.3,0.75,near_100000,"Generated: 99997 near 100000, 99997 near 100000",train
hds_004,49999,49999,2499900001,RC,0.55,0.3,0.9,near_50000,"Generated: 49999 near 50000, 49999 near 50000",train
hds_005,24999,25001,624999999,RC,0.45,0.3,0.9,near_25000,"Generated: 24999 near 25000, 25001 near 25000",train
hds_006,49992,50002,2499699984,RC,0.45,0.3,0.55,near_50000,"Generated: 49992 near 50000, 50002 near 50000",train
hds_007,49998,50003,2500049994,RC,0.45,0.3,0.75,near_50000,"Generated: 49998 near 50000, 50003 near 50000",test
hds_008,50001,50006,2500350006,RC,0.45,0.3,0.55,near_50000,"Generated: 50001 near 50000, 50006 near 50000",train
hds_009,50001,50007,2500400007,RC,0.45,0.3,0.55,near_50000,"Generated: 50001 near 50000, 50007 near 50000",train
hds_010,49996,50004,2499999984,RC,0.45,0.3,0.75,near_50000,"Generated: 49996 near 50000, 50004 near 50000",test
hds_011,99999,99999,9999800001,RC,0.55,0.3,0.9,near_100000,"Generated: 99999 near 100000, 99999 near 100000",test
hds_012,49999,50006,2500249994,RC,0.45,0.3,0.55,near_50000,"Generated: 49999 near 50000, 50006 near 50000",val
hds_013,24999,25003,625049997,RC,0.45,0.3,0.75,near_25000,"Generated: 24999 near 25000, 25003 near 25000",test
hds_014,24997,24997,624850009,RC,0.55,0.3,0.75,near_25000,"Generated: 24997 near 25000, 24997 near 25000",train
hds_015,25001,25003,625100003,RC,0.45,0.3,0.75,near_25000,"Generated: 25001 near 25000, 25003 near 25000",train
hds_016,49993,50001,2499699993,RC,0.45,0.3,0.55,near_50000,"Generated: 49993 near 50000, 50001 near 50000",train
