id,a,b,product,design_family,canonical_target_heuristic,canonical_target_margin,ot_cost,dd_cost,rc_cost,heuristic_definition_version,target_heuristic,ot_score,dd_score,rc_score,category,notes,digit_total,nonzero_total,complexity_c,split
hds_000,55,90,4950,DD,DD,2.125,4.125,2,8.1,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 55*90 = 55*9*10,4,3,12,train
hds_001,91,600,54600,DD,DD,4.041666666666667,6.041666666666667,2,16.618,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 91*600,5,3,15,val
hds_002,69,75,5175,DD,DD,1.25,4.25,3.0,8.12,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 69*75 uses quarter-hundred decomposition,4,4,16,train
hds_003,900,750,675000,DD,DD,6.055555555555555,9.055555555555555,3,13.7,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 900*750 uses quarter-hundred decomposition,6,3,18,train
hds_004,88,870,76560,DD,DD,1.166666666666667,6.166666666666667,5,16.084,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 88*870 = 88*87*10,5,4,20,train
hds_005,900,2400,2160000,DD,DD,8.041666666666666,12.041666666666666,4,19.0,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 900*2400 uses quarter-hundred decomposition,7,3,21,test
hds_006,47,8900,418300,DD,DD,3.125,8.125,5,24.2106,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 47*8900 uses quarter-hundred decomposition,6,4,24,val
hds_007,552,75,41400,DD,DD,2.25,6.25,4.0,16.746,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 552*75 uses quarter-hundred decomposition,5,5,25,train
hds_008,902,1700,1533400,DD,DD,4.596,12.041666666666666,7,11.596,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 902*1700 uses quarter-hundred decomposition,7,4,28,test
hds_009,4281,50,214050,DD,DD,4.09375,8.09375,4,25.1338,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 4281*50 uses quarter-hundred decomposition,6,5,30,train
hds_010,426000,30,12780000,DD,DD,6.041666666666666,12.041666666666666,6,45.519400000000005,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 426000*30 = 426000*3*10,8,4,32,train
hds_011,98,37300,3655400,DD,DD,2.1500000000000004,10.15,8,33.4404,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 98*37300 uses quarter-hundred decomposition,7,5,35,val
hds_012,465,5001,2325465,DD,DD,5.0625,12.0625,7,18.072,cost_model_v2,DD,0.0,0.0,0.0,clean_decomp,Generated: 465 = 460+5,7,5,35,train
hds_013,39,7725,301275,DD,DD,2.21875,8.21875,6.0,24.4472,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 39*7725 uses quarter-hundred decomposition,6,6,36,train
hds_014,8897,75,667275,DD,DD,3.25,8.25,5.0,24.2056,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 8897*75 uses quarter-hundred decomposition,6,6,36,train
hds_015,301,80410,24203410,DD,DD,4.033333333333333,15.033333333333333,11,34.38578,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 301*80410 = 301*8041*10,8,5,40,val
hds_016,40456,200,8091200,DD,DD,10.033333333333333,15.033333333333333,5,34.0512,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 40456*200 uses quarter-hundred decomposition,8,5,40,train
hds_017,5472,290,1586880,DD,DD,3.125,12.125,9,24.8476,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 5472*290 = 5472*29*10,7,6,42,train
hds_018,62294,50,3114700,DD,DD,5.125,10.125,5,34.75312,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 62294*50 uses quarter-hundred decomposition,7,6,42,test
hds_019,54,8502000,459108000,DD,DD,6.0892857142857135,14.089285714285714,8,60.2995892,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 54*8502000,9,5,45,test
hds_020,608160,400,243264000,DD,DD,12.041666666666668,18.041666666666668,6,46.78288,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 608160*400 uses quarter-hundred decomposition,9,5,45,train
hds_021,6033040,50,301652000,DD,DD,7.071428571428571,14.071428571428571,7,60.793382,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 6033040*50 uses quarter-hundred decomposition,9,5,45,train
hds_022,636,43040,27373440,DD,DD,4.133333333333333,15.133333333333333,11,34.4808,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 636*43040 = 636*4304*10,8,6,48,train
hds_023,17197,300,5159100,DD,DD,10.05,15.05,5,24.3794,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 17197*300,8,6,48,train
hds_024,389802,80,31184160,DD,DD,6.104166666666666,12.104166666666666,6,44.79444,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 389802*80 = 389802*8*10,8,6,48,test
hds_025,75,63765,4782375,DD,DD,4.25,10.25,6.0,34.7232,cost_model_v2,DD,0.0,0.0,0.0,clean_decomp,Generated: 75 = 70+5,7,7,49,train
hds_026,275,4281,1177275,DD,DD,2.145833333333334,12.145833333333334,10.0,25.012,cost_model_v2,DD,0.0,0.0,0.0,clean_decomp,Generated: 275 = 270+5,7,7,49,train
hds_027,1334,575,767050,DD,DD,2.1875,12.1875,10.0,13.518,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 1334*575 uses quarter-hundred decomposition,7,7,49,train
hds_028,2381,975,2321475,DD,DD,2.1875,12.1875,10.0,15.812000000000001,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 2381*975 uses quarter-hundred decomposition,7,7,49,test
hds_029,16050,20200,324210000,DD,DD,6.829999999999998,25.04,11,17.83,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 16050*20200,10,5,50,val
hds_030,83,7341000,609303000,DD,DD,3.0892857142857135,14.089285714285714,11,60.5317834,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 83*7341000,9,6,54,train
hds_031,90,8347080,751237200,DD,DD,7.0892857142857135,14.089285714285714,7,60.330566,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 90*8347080 = 90*834708*10,9,6,54,val
hds_032,92,9970200,917258400,DD,DD,3.125,14.125,11,46.0059416,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 92*9970200,9,6,54,train
hds_033,550,777200,427460000,DD,DD,5.111111111111111,18.11111111111111,13,46.4445,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 550*777200 uses quarter-hundred decomposition,9,6,54,train
hds_034,5680,87100,494728000,DD,DD,6.074999999999999,20.075,14,34.1444,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 5680*87100,9,6,54,test
hds_035,12027,7700,92607900,DD,DD,9.075,20.075,11,20.8654,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 12027*7700,9,6,54,val
hds_036,119027,400,47610800,DD,DD,12.027777777777779,18.02777777777778,6,33.37254,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 119027*400,9,6,54,val
hds_037,15,322302,4834530,DD,DD,4.604166666666666,12.104166666666666,7.5,43.44574,cost_model_v2,DD,0.0,0.0,0.0,clean_decomp,Generated: 15 = 10+5,8,7,56,train
hds_038,60,857875,51472500,DD,DD,6.125,12.125,6,46.28413,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 60*857875 uses quarter-hundred decomposition,8,7,56,train
hds_039,2763,5330,14726790,DD,DD,2.125,16.125,14,22.134,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 2763*5330 = 2763*533*10,8,7,56,val
hds_040,3695,3605,13320475,DD,DD,2.171875,16.171875,14,24.54,cost_model_v2,DD,0.0,0.0,0.0,clean_decomp,Generated: 3695 = 3690+5,8,7,56,train
hds_041,52457,550,28851350,DD,DD,4.166666666666666,15.166666666666666,11,34.93986,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 52457*550 uses quarter-hundred decomposition,8,7,56,train
hds_042,72989,350,25546150,DD,DD,4.15,15.15,11,34.53322,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 72989*350 = 72989*35*10,8,7,56,train
hds_043,99601,825,82170825,DD,DD,3.1500000000000004,15.15,12.0,22.99148,cost_model_v2,DD,0.0,0.0,0.0,quarter_hundred,Generated: 99601*825 uses quarter-hundred decomposition,8,7,56,train
hds_044,547962,50,27398100,DD,DD,6.125,12.125,6,46.903976,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 547962*50 = 547962*5*10,8,7,56,test
hds_045,13,19002800,247036400,DD,DD,5.03125,16.03125,11,59.8005574,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 13*19002800,10,6,60,train
hds_046,4504,240600,1083662400,DD,DD,10.072916666666668,24.072916666666668,14,36.09792,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 4504*240600,10,6,60,train
hds_047,15290,40900,625361000,DD,DD,14.05,25.05,11,30.122,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 15290*40900,10,6,60,val
hds_048,57205,70080,4008926400,DD,DD,14.079999999999998,25.08,11,31.457,cost_model_v2,DD,0.0,0.0,0.0,clean_decomp,Generated: 57205 = 57200+5,10,6,60,train
hds_049,458087,1000,458087000,DD,DD,18.0,24.0,6,46.14174,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 458087*1000 = 458087*100*10,10,6,60,train
hds_050,3052054,700,2136437800,DD,DD,14.05952380952381,21.05952380952381,7,56.102708,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 3052054*700,10,6,60,train
hds_051,5509608,500,2754804000,DD,DD,14.05952380952381,21.05952380952381,7,60.8979784,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 5509608*500,10,6,60,test
hds_052,8009691,300,2402907300,DD,DD,14.047619047619047,21.047619047619047,7,60.3980018,cost_model_v2,DD,0.0,0.0,0.0,hundred_factor,Generated: 8009691*300,10,6,60,val
hds_053,887,882100,782422700,DD,DD,3.125,18.125,15,46.234026,cost_model_v2,DD,0.0,0.0,0.0,zero_factor,Generated: 887*882100 = 887*88210*10,9,7,63,train
